Row Labels,Count of Current Location,,,Rank,Frequency
Dubai,1,,,309,1
Kollidam,1,,,310,1
sankarankovil,1,,,311,1
"Dindigul,Tamilnadu",1,,,312,1
Sathur,1,,,313,1
KARAIKUDI NEAR MADURAI,1,,,314,1
Sathyamangalam,1,,,315,1
Perambalur.,1,,,316,1
neyveli township,1,,,317,1
Neyveli-TS,1,,,318,1
(blank),,,,319,0
Grand Total,45560,,,,
